vallina_std,vallina_rob,advtrain_std,advtrain_rob,vmf_std,vmf_rob
21.63,8.87,10.43,10.62,15.61,15.0
34.1,5.43,20.57,19.45,20.38,18.24
42.79,3.01,22.2,18.67,24.93,19.69
49.12,2.27,25.28,21.41,29.68,22.38
57.42,1.09,28.61,23.36,36.27,27.11
59.1,0.08,32.13,22.34,37.97,26.91
62.35,0.0,35.63,26.6,42.46,26.68
67.35,0.0,38.3,28.12,43.48,29.49
64.72,0.0,42.41,28.59,46.87,30.62
65.76,0.0,42.51,28.52,47.44,31.52
70.86,0.0,45.86,31.33,51.85,35.31
77.45,0.0,46.65,32.15,50.56,30.82
69.87,0.0,48.82,28.71,53.91,31.52
70.68,0.0,49.72,34.38,55.97,36.48
69.14,0.0,52.15,30.74,59.88,34.06
72.96,0.0,55.3,34.18,60.48,37.38
64.88,0.0,55.95,32.27,60.72,35.66
75.34,0.0,56.07,35.35,60.2,37.11
77.23,0.0,56.37,36.8,59.62,38.44
77.18,0.0,61.41,38.48,63.24,38.95
71.09,0.0,60.44,38.52,61.55,39.14
78.76,0.0,60.22,34.92,63.48,37.66
73.81,0.0,60.95,36.48,65.27,40.31
75.55,0.0,60.86,37.34,63.82,39.73
75.81,0.0,63.99,38.05,67.56,41.02
74.17,0.0,63.36,36.25,65.21,37.89
76.29,0.0,65.91,38.59,68.84,40.7
81.96,0.0,67.13,41.6,68.45,41.25
76.56,0.0,67.56,36.91,67.61,37.5
79.43,0.0,68.46,39.26,68.77,42.11
79.56,0.0,65.44,41.99,67.22,41.02
81.52,0.0,69.79,38.83,71.15,40.08
67.27,0.0,67.39,38.12,67.03,37.97
82.17,0.0,69.43,38.59,69.47,39.22
77.57,0.0,71.16,40.66,71.89,42.54
78.1,0.0,66.7,38.28,67.04,39.22
77.77,0.04,71.09,42.73,71.92,43.24
62.01,0.0,69.88,40.94,70.93,41.95
80.82,0.0,69.73,40.94,72.82,40.62
65.75,0.0,68.54,39.77,73.35,46.02
73.11,0.0,70.09,40.47,66.47,36.88
78.38,0.0,72.46,41.37,71.53,40.98
79.75,0.0,63.94,32.46,68.18,37.34
75.68,0.0,72.8,43.2,73.71,44.49
76.04,0.0,67.15,39.41,69.99,41.41
80.35,0.0,74.18,40.55,73.72,39.22
70.38,0.0,73.75,44.3,73.88,45.66
77.75,0.0,70.25,42.07,70.65,41.29
81.18,0.0,72.93,42.03,75.01,42.46
75.95,0.04,70.11,44.06,70.18,43.44
68.96,0.0,72.37,41.84,70.59,41.95
77.01,0.0,72.09,40.43,71.05,38.98
77.31,0.0,69.05,35.55,69.9,36.48
80.01,0.0,71.75,42.23,65.19,35.0
76.34,0.0,72.26,40.66,71.82,39.57
82.4,0.0,71.79,41.41,72.39,40.86
82.78,0.0,68.21,37.74,73.02,45.39
77.63,0.0,67.95,35.09,71.83,40.43
71.98,0.0,68.92,38.84,73.4,44.88
75.93,0.04,68.4,38.45,71.74,40.35
75.36,0.0,67.94,35.98,71.25,39.49
74.64,0.0,66.05,34.81,70.6,39.61
76.11,0.0,69.9,36.65,74.53,42.27
82.47,0.0,69.61,36.02,73.79,43.16
90.4,0.0,77.41,48.33,80.9,53.79
90.96,0.0,78.82,48.52,82.67,54.1
91.15,0.0,78.25,49.93,82.51,54.53
91.25,0.0,79.06,49.07,83.11,54.65
91.33,0.0,79.31,48.56,83.3,52.93
91.26,0.0,79.34,48.84,83.73,53.48
91.18,0.0,79.2,48.88,83.22,53.71
91.11,0.0,79.23,48.8,82.9,53.63
91.24,0.0,79.4,49.42,83.63,53.28
91.51,0.0,79.63,48.6,83.37,54.02
91.13,0.0,80.68,47.63,84.38,53.16
91.46,0.0,80.05,48.17,84.18,53.24
91.59,0.0,79.61,48.09,83.85,52.93
91.19,0.0,80.8,47.94,83.92,53.55
91.19,0.0,80.02,48.41,83.91,52.85
92.0,0.0,81.63,48.52,85.3,53.36
92.14,0.0,81.76,48.56,85.49,53.24
92.13,0.0,82.02,48.33,85.69,54.06
92.26,0.0,82.07,48.45,85.55,53.71
92.2,0.0,82.16,48.17,85.64,53.87
92.3,0.0,82.19,47.82,85.72,53.98
92.13,0.0,82.31,47.66,85.58,53.32
92.37,0.0,82.49,47.66,85.68,53.32
92.35,0.0,82.22,47.94,85.78,53.2
92.5,0.0,82.23,47.43,85.84,53.32
92.38,0.0,82.5,47.66,85.97,53.4
92.43,0.0,82.56,47.27,85.99,53.63
92.44,0.0,82.54,47.2,86.02,53.4
92.43,0.0,82.27,47.43,85.77,53.32
92.42,0.0,82.44,47.35,86.09,53.05
92.42,0.0,82.32,47.59,85.91,53.28
92.45,0.0,82.48,47.16,86.1,53.16
92.48,0.0,82.55,47.31,85.89,53.16
92.43,0.0,82.54,46.88,86.05,53.24
92.52,0.0,82.56,46.96,86.18,53.16
92.48,0.0,82.47,46.81,86.05,52.97
